#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0002 DWDMU F30 TR8,TR8,F30-1,3,1,96,96 Standard hiT 7300+,F0201,Unprotected,,,,,,,,
0002 DWDMU F30 TR8,TR8,F30-1,3,1,96,96 Standard hiT 7300+,F0203,Unprotected,,,,,,,,
0002 DWDMU F30 TR8,TR8,F30-1,3,1,96,96 Standard hiT 7300+,F0205,Unprotected,,,,,,,,
0001 DWDMU F30 TR8,F30-1,TR8,1,3,96,96 Standard hiT 7300+,F0206,Unprotected,,,,,,,,
0001 DWDMU F30 TR8,F30-1,TR8,1,3,96,96 Standard hiT 7300+,F0204,Unprotected,,,,,,,,
0001 DWDMU F30 TR8,F30-1,TR8,1,3,96,96 Standard hiT 7300+,F0202,Unprotected,,,,,,,,
0002 DWDMU F30 TR10,TR10,F30-1,5,2,96,96 Standard hiT 7300+,F0237,Unprotected,,,,,,,,
0002 DWDMU F30 TR10,TR10,F30-1,5,2,96,96 Standard hiT 7300+,F0239,Unprotected,,,,,,,,
0001 DWDMU F30 TR10,F30-1,TR10,2,5,96,96 Standard hiT 7300+,F0240,Unprotected,,,,,,,,
0001 DWDMU F30 TR10,F30-1,TR10,2,5,96,96 Standard hiT 7300+,F0238,Unprotected,,,,,,,,
0002 DWDMU F30 TR9,TR9,F30-1,3,3,96,96 Standard hiT 7300+,F0241,Unprotected,,,,,,,,
0002 DWDMU F30 TR9,TR9,F30-1,3,3,96,96 Standard hiT 7300+,F0243,Unprotected,,,,,,,,
0001 DWDMU F30 TR9,F30-1,TR9,3,3,96,96 Standard hiT 7300+,F0244,Unprotected,,,,,,,,
0001 DWDMU F30 TR9,F30-1,TR9,3,3,96,96 Standard hiT 7300+,F0242,Unprotected,,,,,,,,
0001 DWDMU F27 TR9,F27-1,TR9,4,1,96,96 Standard hiT 7300+,F0229,Unprotected,,,,,,,,
0001 DWDMU F27 TR9,F27-1,TR9,4,1,96,96 Standard hiT 7300+,F0231,Unprotected,,,,,,,,
0002 DWDMU F27 TR9,TR9,F27-1,1,4,96,96 Standard hiT 7300+,F0232,Unprotected,,,,,,,,
0002 DWDMU F27 TR9,TR9,F27-1,1,4,96,96 Standard hiT 7300+,F0230,Unprotected,,,,,,,,
0003 DWDMU TR10 TR9,TR10,TR9,4,2,96,96 Standard hiT 7300+,F0235,Unprotected,,,,,,,,
0003 DWDMU TR10 TR9,TR10,TR9,4,2,96,96 Standard hiT 7300+,F0233,Unprotected,,,,,,,,
0004 DWDMU TR10 TR9,TR9,TR10,2,4,96,96 Standard hiT 7300+,F0234,Unprotected,,,,,,,,
