#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0092,S0034-100,4,F0091,Auto,SSMF,60.5,12.705,0,1016.4,0.058,0.388908729,0.25,0.25,0,12.705,1016.4,0.058,0.388908729,,OLR,ONN-X96,49,48,4,8,38,39,50,7,28,8,42,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0053,S0019-100,7,F0054,Auto,SSMF,58.1,12.201,0,976.08,0.058,0.38111678,0.25,0.25,0,12.201,976.08,0.058,0.38111678,,OLR,ONN-X96,51,6,43,7,26,29,50,44,18,7,14,8,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0054,7,S0019-100,F0053,Auto,SSMF,58.1,12.201,0,976.08,0.058,0.38111678,0.25,0.25,0,12.201,976.08,0.058,0.38111678,,ONN-X96,OLR,50,44,18,7,14,8,51,6,43,7,26,29,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0069,S0024-100,7,F0070,Auto,SSMF,53.7,11.277,0,902.16,0.058,0.366401419,0.25,0.25,0,11.277,902.16,0.058,0.366401419,,OLR,ONN-X96,50,30,49,7,44,17,50,44,18,7,14,8,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0070,7,S0024-100,F0069,Auto,SSMF,53.7,11.277,0,902.16,0.058,0.366401419,0.25,0.25,0,11.277,902.16,0.058,0.366401419,,ONN-X96,OLR,50,44,18,7,14,8,50,30,49,7,44,17,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0025,S0010-100,8,F0026,Auto,SSMF,61.0,12.81,0,1024.8,0.058,0.390512483,0.25,0.25,0,12.81,1024.8,0.058,0.390512483,,OLR,ONN-X96,51,51,21,12,42,16,51,20,2,12,23,59,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0026,8,S0010-100,F0025,Auto,SSMF,61.0,12.81,0,1024.8,0.058,0.390512483,0.25,0.25,0,12.81,1024.8,0.058,0.390512483,,ONN-X96,OLR,51,20,2,12,23,59,51,51,21,12,42,16,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0081,S0030-100,8,F0082,Auto,SSMF,62.9,13.209,0,1056.72,0.058,0.396547601,0.25,0.25,0,13.209,1056.72,0.058,0.396547601,,OLR,ONN-X96,51,6,25,11,49,24,51,20,2,12,23,59,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0082,8,S0030-100,F0081,Auto,SSMF,62.9,13.209,0,1056.72,0.058,0.396547601,0.25,0.25,0,13.209,1056.72,0.058,0.396547601,,ONN-X96,OLR,51,20,2,12,23,59,51,6,25,11,49,24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0111,S0041-100,8,F0112,Auto,SSMF,54.6,11.466,0,917.28,0.058,0.369459064,0.25,0.25,0,11.466,917.28,0.058,0.369459064,,OLR,ONN-X96,51,44,1,11,2,27,51,20,2,12,23,59,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
